nombres,apellidos,partido,comuna,comuna,comuna,cargo
ALEJANDRA DE LOURDES,BARRAZA GUERRA,INDEPENDIENTES,HUASCO,,,
CINDY ANTONELLA,QUEVEDO MONARDEZ,INDEPENDIENTES,TIERRA AMARILLA,,,
CAROLINA,BADILLA CASTRO,PARTIDO SOCIAL CRISTIANO,TIERRA AMARILLA,,,
ENRIQUE ALEXANDER,SOTO GUERRERO,FRENTE AMPLIO,TIERRA AMARILLA,,,
DANIELA ISABEL,MUNIZAGA VILLEGAS,PARTIDO REPUBLICANO DE CHILE,TIERRA AMARILLA,,,
YHANSS GEORGE,DELGADO QUEVEDO,INDEPENDIENTES,TIERRA AMARILLA,,,
JONATHAN ALFREDO,CARMONA DIAZ,INDEPENDIENTES,TIERRA AMARILLA,,,
JOEL,CARRIZO DIAZ,INDEPENDIENTES,TIERRA AMARILLA,,,
CRISTOBAL,ZUÑIGA ARANCIBIA,INDEPENDIENTES,TIERRA AMARILLA,,,ALCALDE
LUIS ALBERTO,TAPIA AVALOS,PARTIDO DE LA GENTE,VALLENAR,,,
MARIA MARJORIE,JOPIA HERRERA,INDEPENDIENTES,VALLENAR,,,
VICTOR MANUEL,ISLA LUTZ,INDEPENDIENTES,VALLENAR,,,ALCALDE
SEBASTIAN,SIMON VEGA,INDEPENDIENTES,VALLENAR,,,
RODRIGO SEBASTIAN,LOYOLA MORENILLA,INDEPENDIENTES,VALLENAR,,,
ROBERTO EUGENIO,CALDERON GOMEZ,INDEPENDIENTES,VALLENAR,,,
ARMANDO PABLO,FLORES JIMENEZ,INDEPENDIENTES,VALLENAR,,,
ALEXIS DEL CARMEN,LEMUS CAMPILLAY,INDEPENDIENTES,VALLENAR,,,
JUAN CARLOS,ALFARO ARAVENA,PARTIDO SOCIALISTA DE CHILE,ANDACOLLO,,,ALCALDE
ANGELA,GUERRA ARAYA,INDEPENDIENTES,ANDACOLLO,,,
MAURICIO,CARMONA BRAVO,INDEPENDIENTES,ANDACOLLO,,,
MAGALY,GONZALEZ LUCAY,INDEPENDIENTES,ANDACOLLO,,,
GERALD ALBERT,CERDA PIZARRO,INDEPENDIENTES,ANDACOLLO,,,
DIXON PABLO,PASTEN GUERRERO,INDEPENDIENTES,ANDACOLLO,,,
CARLOS,PEREZ SUAREZ,INDEPENDIENTES,ANDACOLLO,,,
