nombres,apellidos,partido,comuna,comuna,comuna,cargo
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,PETORCA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,PETORCA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,PETORCA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,PETORCA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,PETORCA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,PETORCA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,PUCHUNCAVI,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,PUCHUNCAVI,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,PUCHUNCAVI,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,PUCHUNCAVI,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,PUCHUNCAVI,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,PUCHUNCAVI,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,PUTAENDO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,PUTAENDO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,PUTAENDO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,PUTAENDO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,PUTAENDO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,PUTAENDO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,QUILLOTA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,QUILLOTA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,QUILLOTA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,QUILLOTA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,QUILLOTA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,QUILLOTA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,QUILPUE,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,QUILPUE,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,QUILPUE,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,QUILPUE,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,QUILPUE,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,QUILPUE,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,QUINTERO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,QUINTERO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,QUINTERO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,QUINTERO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,QUINTERO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,QUINTERO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,RINCONADA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,RINCONADA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,RINCONADA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,RINCONADA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,RINCONADA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,RINCONADA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,SAN ESTEBAN,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,SAN ESTEBAN,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,SAN ESTEBAN,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,SAN ESTEBAN,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,SAN ESTEBAN,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,SAN ESTEBAN,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,SAN FELIPE,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,SAN FELIPE,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,SAN FELIPE,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,SAN FELIPE,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,SAN FELIPE,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,SAN FELIPE,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,SANTA MARIA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,SANTA MARIA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,SANTA MARIA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,SANTA MARIA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,SANTA MARIA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,SANTA MARIA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,VILLA ALEMANA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,VILLA ALEMANA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,VILLA ALEMANA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,VILLA ALEMANA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,VILLA ALEMANA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,VILLA ALEMANA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,ZAPALLAR,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,ZAPALLAR,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,ZAPALLAR,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,ZAPALLAR,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,ZAPALLAR,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,ZAPALLAR,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,ALGARROBO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,ALGARROBO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,ALGARROBO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,ALGARROBO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,ALGARROBO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,ALGARROBO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,CARTAGENA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,CARTAGENA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,CARTAGENA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,CARTAGENA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,CARTAGENA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,CARTAGENA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,CASABLANCA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,CASABLANCA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,CASABLANCA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,CASABLANCA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,CASABLANCA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,CASABLANCA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,CONCON,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,CONCON,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,CONCON,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,CONCON,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,CONCON,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,CONCON,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,EL QUISCO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,EL QUISCO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,EL QUISCO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,EL QUISCO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,EL QUISCO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,EL QUISCO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,EL TABO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,EL TABO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,EL TABO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,EL TABO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,EL TABO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,EL TABO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,ISLA DE PASCUA,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,ISLA DE PASCUA,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,ISLA DE PASCUA,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,ISLA DE PASCUA,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,ISLA DE PASCUA,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,ISLA DE PASCUA,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,JUAN FERNANDEZ,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,JUAN FERNANDEZ,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,JUAN FERNANDEZ,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,JUAN FERNANDEZ,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,JUAN FERNANDEZ,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,JUAN FERNANDEZ,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,SAN ANTONIO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,SAN ANTONIO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,SAN ANTONIO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,SAN ANTONIO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,SAN ANTONIO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,SAN ANTONIO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,SANTO DOMINGO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,SANTO DOMINGO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,SANTO DOMINGO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,SANTO DOMINGO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,SANTO DOMINGO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,SANTO DOMINGO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,VALPARAISO,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,VALPARAISO,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,VALPARAISO,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,VALPARAISO,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,VALPARAISO,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,VALPARAISO,,,
OCTAVIO ENRIQUE,GONZALEZ OJEDA,INDEPENDIENTES,VIÑA DEL MAR,,,
MANUEL JESUS,MILLONES CHIRINO,INDEPENDIENTES,VIÑA DEL MAR,,,
FELIPE,RIOS CUEVAS,INDEPENDIENTES,VIÑA DEL MAR,,,
RODRIGO EDUARDO ALEXIS,MUNDACA CABRERA,INDEPENDIENTES,VIÑA DEL MAR,,,
FRANCESCO,VENEZIAN URZUA,INDEPENDIENTES,VIÑA DEL MAR,,,
MARIA JOSE,HOFFMANN OPAZO,UNION DEMOCRATA INDEPENDIENTE,VIÑA DEL MAR,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,CODEGUA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,CODEGUA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,CODEGUA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,CODEGUA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,CODEGUA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,CODEGUA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,CODEGUA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,COINCO,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,COINCO,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,COINCO,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,COINCO,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,COINCO,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,COINCO,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,COINCO,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,COLTAUCO,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,COLTAUCO,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,COLTAUCO,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,COLTAUCO,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,COLTAUCO,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,COLTAUCO,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,COLTAUCO,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,DOÑIHUE,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,DOÑIHUE,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,DOÑIHUE,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,DOÑIHUE,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,DOÑIHUE,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,DOÑIHUE,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,DOÑIHUE,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,GRANEROS,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,GRANEROS,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,GRANEROS,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,GRANEROS,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,GRANEROS,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,GRANEROS,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,GRANEROS,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,MACHALI,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,MACHALI,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,MACHALI,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,MACHALI,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,MACHALI,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,MACHALI,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,MACHALI,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,MALLOA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,MALLOA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,MALLOA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,MALLOA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,MALLOA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,MALLOA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,MALLOA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,MOSTAZAL,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,MOSTAZAL,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,MOSTAZAL,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,MOSTAZAL,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,MOSTAZAL,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,MOSTAZAL,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,MOSTAZAL,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,OLIVAR,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,OLIVAR,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,OLIVAR,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,OLIVAR,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,OLIVAR,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,OLIVAR,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,OLIVAR,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,QUINTA DE TILCOCO,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,QUINTA DE TILCOCO,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,QUINTA DE TILCOCO,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,QUINTA DE TILCOCO,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,QUINTA DE TILCOCO,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,QUINTA DE TILCOCO,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,QUINTA DE TILCOCO,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,RANCAGUA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,RANCAGUA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,RANCAGUA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,RANCAGUA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,RANCAGUA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,RANCAGUA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,RANCAGUA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,RENGO,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,RENGO,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,RENGO,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,RENGO,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,RENGO,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,RENGO,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,RENGO,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,REQUINOA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,REQUINOA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,REQUINOA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,REQUINOA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,REQUINOA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,REQUINOA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,REQUINOA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,CHEPICA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,CHEPICA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,CHEPICA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,CHEPICA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,CHEPICA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,CHEPICA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,CHEPICA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,CHIMBARONGO,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,CHIMBARONGO,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,CHIMBARONGO,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,CHIMBARONGO,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,CHIMBARONGO,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,CHIMBARONGO,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,CHIMBARONGO,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,LA ESTRELLA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,LA ESTRELLA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,LA ESTRELLA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,LA ESTRELLA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,LA ESTRELLA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,LA ESTRELLA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,LA ESTRELLA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,LAS CABRAS,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,LAS CABRAS,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,LAS CABRAS,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,LAS CABRAS,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,LAS CABRAS,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,LAS CABRAS,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,LAS CABRAS,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,LITUECHE,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,LITUECHE,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,LITUECHE,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,LITUECHE,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,LITUECHE,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,LITUECHE,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,LITUECHE,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,LOLOL,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,LOLOL,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,LOLOL,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,LOLOL,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,LOLOL,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,LOLOL,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,LOLOL,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,MARCHIGUE,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,MARCHIGUE,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,MARCHIGUE,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,MARCHIGUE,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,MARCHIGUE,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,MARCHIGUE,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,MARCHIGUE,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,NANCAGUA,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,NANCAGUA,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,NANCAGUA,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,NANCAGUA,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,NANCAGUA,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,NANCAGUA,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,NANCAGUA,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,NAVIDAD,,,
MARIO ALBERTO,GALVEZ PALMA,INDEPENDIENTES,NAVIDAD,,,
PABLO,SILVA AMAYA,PARTIDO SOCIALISTA DE CHILE,NAVIDAD,,,
CAROL,AROS SEGUEL,PARTIDO DE LA GENTE,NAVIDAD,,,
CARLOS,ZAMORA CANCINO,PARTIDO ALIANZA VERDE POPULAR,NAVIDAD,,,
FERNANDO,UGARTE TEJEDA,PARTIDO REPUBLICANO DE CHILE,NAVIDAD,,,
REBECA,COFRE CALDERON,INDEPENDIENTES,NAVIDAD,,,
PATRICIO,ARENAS ROMAN,PARTIDO SOCIAL CRISTIANO,PALMILLA,,,
