rut,nombres,apellidos,cargo,comuna,partido
,Ariel,Keim Hermosilla,Alcalde,Chile Chico,Independientes
,Francisco,Roncagliolo Lepio,Alcalde,Cisnes,Renovacion Nacional
,Patricio,Ulloa Georgia,Alcalde,Cochrane,Union Democrata Independiente
,Carlos,Gatica Villegas,Alcalde,Coyhaique,Partido Democrata Cristiano
,Bans,Puinao Carimoney,Alcalde,Guaitecas,Evolucion Politica
,Claudia Andrea,Valdes Vasquez,Alcalde,Lago Verde,Independientes
,Claudio,Fica Gomez,Alcalde,O'Higgins,Partido Democrata Cristiano
,Marcelo,Jelvez Cardenas,Alcalde,Rio Ibañez,Union Democrata Independiente
,Marisela Clorinda,Jimenez Cruces,Alcalde,Tortel,Independientes
,Patricio,Fernandez Alarcon,Alcalde,Antartica,Partido Democrata Cristiano
,Patricio,Fernandez Alarcon,Alcalde,Cabo De Hornos(Ex-Navarino),Partido Democrata Cristiano
,Fernando,Ojeda Gonzalez,Alcalde,Laguna Blanca,Partido Socialista De Chile
,Ana Ester,Mayorga Bahamonde,Alcalde,Natales,Independientes
,Jose Gabriel,Parada Aguilar,Alcalde,Porvenir,Independientes
,Karina,Fernandez Marin,Alcalde,Primavera,Independientes
,Claudio,Radonich Jimenez,Alcalde,Punta Arenas,Renovacion Nacional
,Tatiana,Vasquez Barrientos,Alcalde,Rio Verde,Independientes
,Jeannette Isabel,Andrade Ruiz,Alcalde,San Gregorio,Partido Democrata Cristiano
,Luis,Barria Andrade,Alcalde,Timaukel,Independientes
,Anahi,Cardenas Rodriguez,Alcalde,Torres Del Paine,Independientes
,Claudio Eugenio,Arriagada Macaya,Alcalde,La Granja,Independientes
,Eduardo Rene,Espinoza Gaete,Alcalde,Macul,Partido Republicano De Chile
,Sebastian,Sichel Ramirez,Alcalde,Ñuñoa,Independientes
,Jaime,Bellolio Avaria,Alcalde,Providencia,Union Democrata Independiente
,Cristobal Amaro,Labra Bassa,Alcalde,San Joaquin,Independientes
,Mario,Desbordes Jimenez,Alcalde,Santiago,Renovacion Nacional
,Jose Manuel,Palacios Parra,Alcalde,La Reina,Union Democrata Independiente
,Catalina,San Martin Cavada,Alcalde,Las Condes,Independientes
,Felipe,Alessandri Vergara,Alcalde,Lo Barnechea,Renovacion Nacional
,Miguel Andres,Concha Manso,Alcalde,Peñalolen,Frente Amplio
,Camila,Merino Catalan,Alcalde,Vitacura,Evolucion Politica
,Daniel,Reyes Morales,Alcalde,La Florida,Independientes
,Claudia,Pizarro Peña,Alcalde,La Pintana,Partido Democrata Cristiano
,Jaime,Escudero Ramos,Alcalde,Pirque,Independientes
,Matias Jair,Toledo Herrera,Alcalde,Puente Alto,Independientes
,Roberto,Perez Catalan,Alcalde,San Jose De Maipo,Partido Radical De Chile
,Manuel Francisco,Zuñiga Aguilar,Alcalde,El Bosque,Partido Socialista De Chile
,Joel Andres,Olmos Espinoza,Alcalde,La Cisterna,Partido Accion Humanista
,Javiera Paz,Reyes Jara,Alcalde,Lo Espejo,Partido Comunista De Chile
,Luis Alberto,Astudillo Peiretti,Alcalde,Pedro Aguirre Cerda,Independientes
,Carol,Bown Sepulveda,Alcalde,San Miguel,Union Democrata Independiente
